Crash_Day,Crash_Date,Borough,Latitude,Longitude,Number_of_Persons_Injured,Aftermath of Accident,Number_of_Persons_Killed,Contributing_Factor,Collision_ID
Friday,01-10-2021 00:00,BRONX,40.860855,-73.84145,0,No Injury,0,Driver Inexperience,4465332
Friday,01-10-2021 00:00,BROOKLYN,40.666706,-73.871826,1,Injured,0,Passing or Lane Usage Improper,4463719
Friday,01-10-2021 00:10,STATEN ISLAND,40.637623,-74.10274,0,No Injury,0,Turning Improperly,4464340
Friday,01-10-2021 00:30,MANHATTAN,40.7609829,-73.9649873,0,No Injury,0,Driver Inattention,4466855
Friday,01-10-2021 00:55,MANHATTAN,40.748245,-73.976295,0,No Injury,0,Brakes Defective,4465495
Friday,01-10-2021 00:56,QUEENS,40.725994,-73.89843,1,Injured,0,Unsafe Speed,4463099
Friday,01-10-2021 01:00,STATEN ISLAND,40.60545,-74.092636,0,No Injury,0,Passing or Lane Usage Improper,4464020
Friday,01-10-2021 01:08,BROOKLYN,40.687347,-73.87516,0,No Injury,0,Unsafe Speed,4464384
Friday,01-10-2021 01:23,BRONX,40.815,-73.89402,0,No Injury,0,Alcohol Involvement,4463611
Friday,01-10-2021 01:40,BROOKLYN,40.687912,-73.92943,0,No Injury,0,Other Vehicular,4463574
Friday,01-10-2021 02:00,BROOKLYN,40.66235,-73.95082,0,No Injury,0,Alcohol Involvement,4463223
Friday,01-10-2021 02:00,BROOKLYN,40.676243,-73.95269,0,No Injury,0,Driver Inattention,4463454
Friday,01-10-2021 02:04,BROOKLYN,40.64883,-73.90492,1,Injured,0,Alcohol Involvement,4463124
Friday,01-10-2021 02:30,MANHATTAN,40.792713,-73.96925,0,No Injury,0,Outside Car Distraction,4463265
Friday,01-10-2021 02:46,BRONX,40.84497,-73.90247,1,Killed,1,Driver Inattention,4463262
Friday,01-10-2021 02:49,QUEENS,40.71042,-73.85964,1,Injured,0,Driver Inattention,4464222
Friday,01-10-2021 02:50,MANHATTAN,40.73235,-73.984955,1,Injured,0,Failure to Yield Right-of-Way,4464359
Friday,01-10-2021 02:53,MANHATTAN,40.72543,-73.99678,1,Injured,0,Following Too Closely,4464635
Friday,01-10-2021 03:00,BROOKLYN,40.61179,-73.987206,0,No Injury,0,Traffic Control Disregarded,4463314
Friday,01-10-2021 03:14,QUEENS,40.652565,-73.74656,1,Injured,0,Driver Inattention,4464042
Friday,01-10-2021 03:48,BRONX,40.82817,-73.86265,0,No Injury,0,Steering Failure,4463236
Friday,01-10-2021 03:54,MANHATTAN,40.783054,-73.944885,0,No Injury,0,Backing Unsafely,4465150
Friday,01-10-2021 03:55,BRONX,40.904293,-73.89989,0,No Injury,0,Alcohol Involvement,4463133
Friday,01-10-2021 04:04,BRONX,40.807808,-73.92384,0,No Injury,0,Driver Inattention,4463197
Friday,01-10-2021 04:10,MANHATTAN,40.86795,-73.92701,0,No Injury,0,Driver Inattention,4463554
Friday,01-10-2021 04:10,QUEENS,40.760098,-73.8593,1,Injured,0,Driver Inattention,4463154
Friday,01-10-2021 04:20,BROOKLYN,40.644913,-73.97443,0,No Injury,0,Brakes Defective,4463371
