Collision_ID,Crash_Date,Vehicle_Type
4471105,01-10-2021 00:00,Two Wheeler
4465332,01-10-2021 00:00,SUV
4463719,01-10-2021 00:00,SUV
4464726,01-10-2021 00:04,Sedan
4463173,01-10-2021 00:04,SUV
4463323,01-10-2021 00:05,Sedan
4464340,01-10-2021 00:10,SUV
4463227,01-10-2021 00:15,Sedan
4464064,01-10-2021 00:25,Sedan
4466855,01-10-2021 00:30,SUV
4465446,01-10-2021 00:30,Sedan
4463130,01-10-2021 00:33,SUV
4463209,01-10-2021 00:42,Sedan
4463084,01-10-2021 00:45,Sedan
4463058,01-10-2021 00:45,Sedan
4463064,01-10-2021 00:50,SUV
4463153,01-10-2021 00:50,Taxi
4465495,01-10-2021 00:55,SUV
4463099,01-10-2021 00:56,SUV
4463067,01-10-2021 00:57,Sedan
4463184,01-10-2021 01:00,Two Wheeler
4464020,01-10-2021 01:00,SUV
4464467,01-10-2021 01:04,Sedan
4463485,01-10-2021 01:05,Sedan
4464384,01-10-2021 01:08,SUV
4463611,01-10-2021 01:23,Commercial Vehicle
4463835,01-10-2021 01:29,Sedan
4463348,01-10-2021 01:30,Sedan
4463272,01-10-2021 01:30,SUV
4463070,01-10-2021 01:35,Sedan
4463574,01-10-2021 01:40,Sedan
4464127,01-10-2021 01:40,Heavy Vehicle
4464370,01-10-2021 01:47,Sedan
4464578,01-10-2021 01:48,Two Wheeler
4463249,01-10-2021 01:50,Two Wheeler
4463852,01-10-2021 01:58,SUV
4463223,01-10-2021 02:00,SUV
4463558,01-10-2021 02:00,Sedan
4463454,01-10-2021 02:00,SUV
4463124,01-10-2021 02:04,Sedan
4463191,01-10-2021 02:05,Sedan
4463861,01-10-2021 02:10,Sedan
4468433,01-10-2021 02:15,Sedan
4463065,01-10-2021 02:25,SUV
4464143,01-10-2021 02:25,SUV
4463265,01-10-2021 02:30,Sedan
4463262,01-10-2021 02:46,Two Wheeler
4464222,01-10-2021 02:49,Heavy Vehicle
4464359,01-10-2021 02:50,Sedan
4464635,01-10-2021 02:53,SUV
4463977,01-10-2021 03:00,Sedan
4463314,01-10-2021 03:00,Sedan
4463425,01-10-2021 03:00,SUV
4463088,01-10-2021 03:00,Sedan
4463907,01-10-2021 03:09,SUV
4464042,01-10-2021 03:14,Sedan
4463056,01-10-2021 03:15,Sedan
4464271,01-10-2021 03:21,Sedan
4463082,01-10-2021 03:30,SUV
4463236,01-10-2021 03:48,Sedan
4465150,01-10-2021 03:54,Sedan
4463133,01-10-2021 03:55,SUV
4463197,01-10-2021 04:04,Sedan
4463154,01-10-2021 04:10,SUV
4464334,01-10-2021 04:10,Bus
4463554,01-10-2021 04:10,SUV
4463371,01-10-2021 04:20,Sedan
4463114,01-10-2021 04:30,Sedan
4463866,01-10-2021 04:45,SUV
4463168,01-10-2021 04:49,Sedan
4463066,01-10-2021 04:50,Sedan
4471118,01-10-2021 05:00,Sedan
4463261,01-10-2021 05:13,Heavy Vehicle
4464936,01-10-2021 05:30,SUV
4464861,01-10-2021 05:30,SUV
4463155,01-10-2021 05:30,Sedan
4465447,01-10-2021 05:45,SUV
4463136,01-10-2021 05:50,Sedan
4463283,01-10-2021 06:16,Sedan
4467700,01-10-2021 06:30,SUV
4463188,01-10-2021 06:30,Sedan
4463148,01-10-2021 06:40,SUV
4463620,01-10-2021 06:55,SUV
4463524,01-10-2021 07:10,SUV
4463338,01-10-2021 07:15,Sedan
4463097,01-10-2021 07:40,SUV
4463228,01-10-2021 07:44,Sedan
4463772,01-10-2021 07:45,SUV
4463336,01-10-2021 08:00,SUV
4463756,01-10-2021 08:00,SUV
4463518,01-10-2021 08:15,SUV
4463210,01-10-2021 08:19,SUV
4463382,01-10-2021 08:20,Sedan
4463387,01-10-2021 08:20,SUV
4463127,01-10-2021 08:24,Commercial Vehicle
4463888,01-10-2021 08:30,SUV
4463115,01-10-2021 08:30,Sedan
4463668,01-10-2021 08:36,Sedan
4464924,01-10-2021 08:50,Sedan
4463329,01-10-2021 09:00,SUV
4463349,01-10-2021 09:00,Sedan
4463151,01-10-2021 09:05,SUV
4463444,01-10-2021 09:12,Sedan
4466556,01-10-2021 09:13,Heavy Vehicle
4463104,01-10-2021 09:15,SUV
4463416,01-10-2021 09:20,SUV
4463206,01-10-2021 09:24,Two Wheeler
4464286,01-10-2021 09:51,Sedan
4463207,01-10-2021 09:57,Sedan
4463276,01-10-2021 10:00,Sedan
4463237,01-10-2021 10:00,SUV
4465801,01-10-2021 10:00,Sedan
4463318,01-10-2021 10:00,Two Wheeler
4463126,01-10-2021 10:00,Sedan
4464425,01-10-2021 10:11,Sedan
4463759,01-10-2021 10:30,Sedan
4463738,01-10-2021 10:40,Sedan
4464617,01-10-2021 10:42,Sedan
4465002,01-10-2021 10:50,Sedan
4463138,01-10-2021 10:50,SUV
4465003,01-10-2021 11:00,Sedan
4463386,01-10-2021 11:00,Sedan
4463282,01-10-2021 11:15,Commercial Vehicle
4464126,01-10-2021 11:15,Sedan
4464405,01-10-2021 11:20,Heavy Vehicle
4463137,01-10-2021 11:20,Sedan
4463522,01-10-2021 11:23,Sedan
4463149,01-10-2021 11:30,SUV
4463352,01-10-2021 11:33,Sedan
4464686,01-10-2021 11:40,Sedan
4463482,01-10-2021 11:40,SUV
4465326,01-10-2021 11:41,Two Wheeler
4465426,01-10-2021 11:43,Sedan
4463252,01-10-2021 11:45,SUV
4463247,01-10-2021 11:50,SUV
